stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1,,Köln Heumarkt,,50.935705,6.959995,,,0,,
2,,Köln Neumarkt,,50.935770,6.947677,,,0,,
3,,Köln Poststr.,,50.931238,6.950060,,,0,,
4,,Köln Mauritiuskirche,,50.934173,6.945069,,,0,,
6,,Köln Rathaus,,50.938467,6.959697,,,0,,
7,,Köln Appellhofplatz,,50.939972,6.950437,,,0,,
8,,Köln Dom / Hbf,,50.942971,6.958580,,,0,,
9,,Köln Breslauer Platz/Hbf,,50.944355,6.958637,,,0,,
10,,Köln Kuthstr./Vingst,,50.933255,7.021968,,,0,,
11,,Köln Severinstr.,,50.929079,6.956858,,,0,,
12,,Köln Waidmarkt,,50.932365,6.956242,,,0,,
13,,Köln Rosenstr.,,50.926573,6.958698,,,0,,
14,,Köln Silbermöwenweg,,50.966286,6.876594,,,0,,
15,,Köln Severinskirche,,50.923244,6.960165,,,0,,
17,,Köln Ubierring,,50.922400,6.965481,,,0,,
18,,Köln Chlodwigplatz,,50.921193,6.960365,,,0,,
19,,Köln Ulrepforte,,50.923976,6.952088,,,0,,
20,,Köln Bonner Wall,,50.916424,6.960978,,,0,,
21,,Köln Eifelplatz,,50.923281,6.943497,,,0,,
22,,Köln Eifelstr.,,50.926653,6.945685,,,0,,
23,,Köln Barbarossaplatz,,50.928582,6.942723,,,0,,
24,,Köln Zülpicher Platz,,50.931142,6.940741,,,0,,
25,,Köln Dasselstr./Bf Süd,,50.928394,6.935977,,,0,,
26,,Köln Eifelwall,,50.924781,6.937042,,,0,,
27,,Köln Rudolfplatz,,50.936343,6.939010,,,0,,
28,,Köln Moltkestr.,,50.936071,6.932603,,,0,,
29,,Köln Roonstr.,,50.933009,6.934363,,,0,,
30,,Köln Friesenplatz,,50.940533,6.939977,,,0,,
31,,Köln Hans-Böckler-Platz/Bf West,,50.943227,6.933600,,,0,,
32,,Köln Christophstr./Mediapark,,50.944702,6.942437,,,0,,
33,,Köln Gewerbegebiet Feldkassel,,51.039853,6.915267,,,0,,
34,,Köln Reichenspergerplatz,,50.954025,6.964301,,,0,,
35,,Köln Ebertplatz,,50.950619,6.958794,,,0,,
36,,Köln Hansaring,,50.949008,6.952386,,,0,,
37,,Köln Worringer Str.,,50.955373,6.967659,,,0,,
38,,Köln Krefelder Wall,,50.954247,6.950373,,,0,,
39,,Köln Deutzer Freiheit,,50.936662,6.970358,,,0,,
40,,Köln Suevenstr.,,50.933050,6.976656,,,0,,
41,,Köln Bf Deutz / Messe  Lanxess Arena,,50.939651,6.977363,,,0,,
42,,Köln Koelnmesse,,50.942869,6.981656,,,0,,
43,,Bonn Propsthof Nord,,50.739096,7.073507,,,0,,
44,,Köln Deutz Technische Hochschule,,50.936467,6.986145,,,0,,
45,,Köln Severinsbrücke,,50.930433,6.972476,,,0,,
46,,Köln Drehbrücke,,50.928461,6.974981,,,0,,
47,,Köln Poller Kirchweg,,50.923655,6.980014,,,0,,
48,,Köln Betzdorfer Str.,,50.935895,6.991055,,,0,,
50,,Köln Rotdornstr.,,50.885794,6.997779,,,0,,
51,,Köln Im Rheinpark,,50.945819,6.975002,,,0,,
52,,Köln Pohligstr.,,50.916932,6.941662,,,0,,
53,,Köln Herthastr.,,50.912921,6.940799,,,0,,
54,,Köln Gottesweg,,50.910361,6.941572,,,0,,
55,,Köln Kappelsweg,,50.977265,6.860469,,,0,,
